Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2013-14,20142 (Spring 2014),SOC WF 215 H,INTERGROUP DIALOGUES,"NAGDA, BIREN (RATNESH)",15,5,8,2,,,,,,,,,,,3.7
2013-14,20142 (Spring 2014),SOC WF 312 A,SOCL WELF PRAC III,"WAITHAKA, ERIC",23,10,12,,,,,1,,,,,,,3.7
2013-14,20142 (Spring 2014),SOC WF 312 B,SOCL WELF PRAC III,"SCHAEFER, AIKO",22,7,10,4,1,,,,,,,,,,3.6
2013-14,20142 (Spring 2014),SOC WF 315 A,COMM SERV LEARNING,"MAGLALANG, JENNIFER M",45,30,14,1,,,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SOC WF 404 A,CLTRL DIVRSTY/JSTCE,"MCGLYNN-WRIGHT, THEODORE",22,11,11,,,,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SOC WF 404 B,CLTRL DIVRSTY/JSTCE,"TERRY-HAYS, DEBORAH",23,7,12,3,1,,,,,,,,,,3.7
2013-14,20142 (Spring 2014),SOC WF 443 A,FAC INTGP DIALOG II,"NAGDA, BIREN (RATNESH)",19,18,1,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SOC WF 460 A,CHEMICAL DEPENDENCY,"JACKSON, THOMAS R.",33,23,8,1,,1,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SPAN 102 B,ELEMENTARY SPANISH,"TOSCANO, CAROLINA M.",21,2,2,5,4,1,,2,,1,1,1,,2,2.8
2013-14,20142 (Spring 2014),SPAN 103 B,ELEMENTARY SPANISH,"PARK, JONGGUN",22,6,10,4,1,,,1,,,,,,,3.5
2013-14,20142 (Spring 2014),SPAN 103 C,ELEMENTARY SPANISH,"SUGAR, ALEXANDER",18,3,8,4,,1,,1,,,1,,,,3.3
2013-14,20142 (Spring 2014),SPAN 103 D,ELEMENTARY SPANISH,"FLORES PEREZ, MARTHA G",23,1,6,4,3,5,1,2,,1,,,,,3.0
2013-14,20142 (Spring 2014),SPAN 103 E,ELEMENTARY SPANISH,"SPANNAGEL BRADLEY, SABRINA",24,3,7,4,6,1,,2,,,,,,1,3.2
2013-14,20142 (Spring 2014),SPAN 103 F,ELEMENTARY SPANISH,"FITZMORRIS, MOLLY",21,2,10,2,1,1,3,1,,,,,,1,3.2
2013-14,20142 (Spring 2014),SPAN 103 G,ELEMENTARY SPANISH,"DE LEON HERNANDEZ, MARIA J",20,,6,4,2,2,2,2,,1,,1,,,2.8
2013-14,20142 (Spring 2014),SPAN 110 A,BASIC SPANSH REVIEW,"SPANNAGEL BRADLEY, SABRINA",17,2,8,,1,4,,,1,,,1,,,3.1
2013-14,20142 (Spring 2014),SPAN 123 A,SPANISH IMMERSION,"KENNEDY, DONALLY",13,3,6,,3,,1,,,,,,,,3.4
2013-14,20142 (Spring 2014),SPAN 201 B,INTERMEDIATE SPAN,"TITTLE, ELIZABETH G.",19,10,6,1,1,,,1,,,,,,,3.6
2013-14,20142 (Spring 2014),SPAN 201 C,INTERMEDIATE SPAN,"DELGADO, ANDREA",19,2,6,4,4,2,,,1,,,,,,3.2
2013-14,20142 (Spring 2014),SPAN 201 D,INTERMEDIATE SPAN,"SALVADOR SANCHIS, AURORA",21,6,10,2,1,2,,,,,,,,,3.5
2013-14,20142 (Spring 2014),SPAN 202 B,INTERMEDIATE SPAN,"BECERRA, RUKMINI",21,2,11,4,,1,1,,1,,,,1,,3.2
2013-14,20142 (Spring 2014),SPAN 202 C,INTERMEDIATE SPAN,"JAFFEE, SAMUEL J",20,,10,2,3,3,1,1,,,,,,,3.2
2013-14,20142 (Spring 2014),SPAN 202 D,INTERMEDIATE SPAN,"JAFFEE, SAMUEL J",18,1,11,4,,1,,1,,,,,,,3.4
2013-14,20142 (Spring 2014),SPAN 203 B,INTERMEDIATE SPAN,"REQUEJO, ALBERTO A.",20,2,14,,2,,1,,,,,,1,,3.4
2013-14,20142 (Spring 2014),SPAN 203 C,INTERMEDIATE SPAN,"REQUEJO, ALBERTO A.",13,3,9,1,,,,,,,,,,,3.7
2013-14,20142 (Spring 2014),SPAN 203 D,INTERMEDIATE SPAN,"MARKLEY, PHILLIP L.",20,9,9,1,1,,,,,,,,,,3.7
2013-14,20142 (Spring 2014),SPAN 203 E,INTERMEDIATE SPAN,"MARKLEY, PHILLIP L.",21,3,17,1,,,,,,,,,,,3.7
2013-14,20142 (Spring 2014),SPAN 301 A,ADVANCED SPANISH,"TIERNEY, SUZANNE",14,3,8,1,,1,,1,,,,,,,3.5
2013-14,20142 (Spring 2014),SPAN 301 B,ADVANCED SPANISH,"MEDIAVILLA, MARILIS",17,,8,1,,4,3,,,,1,,,,3.0
2013-14,20142 (Spring 2014),SPAN 301 C,ADVANCED SPANISH,"MEDIAVILLA, MARILIS",17,1,9,2,2,2,1,,,,,,,,3.3
2013-14,20142 (Spring 2014),SPAN 302 B,ADVANCED SPANISH,"GONZALEZ, JORGE",15,,6,4,2,1,,1,1,,,,,,3.1
2013-14,20142 (Spring 2014),SPAN 302 C,ADVANCED SPANISH,"GONZALEZ, JORGE",17,1,12,2,1,,1,,,,,,,,3.5
2013-14,20142 (Spring 2014),SPAN 303 B,ADVANCED SPANISH,"RANEDA, INMA",16,9,4,1,1,,,1,,,,,,,3.6
2013-14,20142 (Spring 2014),SPAN 303 C,ADVANCED SPANISH,"RANEDA, INMA",14,5,7,1,,,,,,,,,1,,3.5
2013-14,20142 (Spring 2014),SPAN 315 A,HERITAGE STDNTS II,"GILLMAN, MARIA",17,2,6,4,2,2,,1,,,,,,,3.3
2013-14,20142 (Spring 2014),SPAN 316 A,COMP FOR HERITAGE,"WITTE, ANNA B.",15,1,3,4,4,2,,,,,1,,,,3.1
2013-14,20142 (Spring 2014),SPAN 323 A,INTRO SPAN LINGUIST,"SANCHEZ, DAVID J",60,14,29,5,1,3,1,1,2,,,2,,2,3.4
2013-14,20142 (Spring 2014),SPAN 336 A,CREATV STORYTELLING,"WITTE, ANNA B.",24,5,11,5,2,1,,,,,,,,,3.5
2013-14,20142 (Spring 2014),SPAN 394 A,SPEC TOP - SPAN LIT,"LUENGO, ANA",23,8,12,1,1,1,,,,,,,,,3.7
2013-14,20142 (Spring 2014),SPAN 395 A,SPEC TOP -LATAM LIT,"ALBARRAN, RAQUEL",20,19,,,,,,,,,,,,1,4.0
2013-14,20142 (Spring 2014),SPAN 396 A,SPAN CLTRL STDYS,"BUNIS, DAVID M",17,14,3,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SPAN 453 A,CERVANTES & TIMES,"GILBERT-SANTAMARIA, DONALD",16,6,4,5,1,,,,,,,,,,3.6
2013-14,20142 (Spring 2014),SPAN 462 A,SPAN CLTR STUDIES,"GOMEZ-BRAVO, ANA M",23,13,8,,1,,,,,,,,,1,3.8
2013-14,20142 (Spring 2014),SPH 492 A,CAPSTONE II,"HINCHEY, DEBORAH M",26,10,13,2,,,1,,,,,,,,3.7
2013-14,20142 (Spring 2014),SPH 492 B,CAPSTONE II,"SHEPHERD-BANIGAN, MEGAN",23,7,16,,,,,,,,,,,,3.7
2013-14,20142 (Spring 2014),SPH 492 C,CAPSTONE II,"HINCHEY, DEBORAH M",16,12,2,,1,,,1,,,,,,,3.7
2013-14,20142 (Spring 2014),SPHSC 100 A,VOICE&ARTIC IMPROV,"DALIRI, AYOUB",27,16,9,1,,1,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SPHSC 100 B,VOICE&ARTIC IMPROV,"DALIRI, AYOUB",26,13,6,3,,,1,1,,1,,,,1,3.5
2013-14,20142 (Spring 2014),SPHSC 304 A,DEV ASPECTS COMMUN,"COGGINS, TRUMAN E",52,2,19,4,5,8,6,4,1,1,,1,,1,2.9
2013-14,20142 (Spring 2014),SPHSC 304 B,DEV ASPECTS COMMUN,"COGGINS, TRUMAN E",23,5,10,4,1,2,1,,,,,,,,3.5
2013-14,20142 (Spring 2014),SPHSC 320 A,ANAT PHYSLGY SPEECH,"BURNS, MICHAEL I",50,13,22,8,1,5,,,,,,,,1,3.5
2013-14,20142 (Spring 2014),SPHSC 320 B,ANAT PHYSLGY SPEECH,"BURNS, MICHAEL I",22,9,10,1,1,1,,,,,,,,,3.7
2013-14,20142 (Spring 2014),SPHSC 406 A,TRETMT SP LG DISRDR,"BAYLOR, CAROLYN RAE",37,9,20,6,1,,,,,,,,1,,3.5
2013-14,20142 (Spring 2014),SPHSC 461 A,HEARING SCIENCE,"WERNER, LYNNE A",48,2,14,9,8,3,4,2,3,,1,,,2,3.0
2013-14,20142 (Spring 2014),SPHSC 461 B,HEARING SCIENCE,"WERNER, LYNNE A",20,4,11,4,,1,,,,,,,,,3.5
2013-14,20142 (Spring 2014),SPHSC 507 A,EVDNC-BASED PRACTIC,"DOWDEN, PATRICIA A.",24,14,10,,,,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SPHSC 531 A,NEURO MTR SPCH DIS,"SPENCER, KRISTIE",25,9,14,2,,,,,,,,,,,3.8
